New York,Yankees,"b",15,16
Tampa Bay,Rays,"b",4,9
Baltimore,Orioles,"b",11,15
Toronto,Blue Jays,"b",12,12
Boston,Red Sox,"b",12,15
Chicago,White Sox,"b",5,16
Minnesota,Twins,"b",5,2
Cleveland,Indians,"b",20,18
Detroit,Tigers,"b",4,12
Kansas City,Royals,"b",10,20
Houston,Astros,"b",10,10
Oakland,Athletics,"b",6,10
Texas,Rangers,"b",12,12
Seattle,Mariners,"b",8,11
Los Angeles,Angels,"b",5,6
Atlanta,Braves,"b",2,3
Miami,Marlins,"b",6,8
New York,Mets,"b",8,15
Philadelphia,Phillies,"b",3,5
Washington,Nationals,"b",9,10
Pittsburgh,Pirates,"b",7,6
Chicago,Cubs,"b",26,21
Cincinatti,Reds,"b",5,7
St. Louis,Cardinals,"b",8,11
Milwaulkee,Brewers,"b",2,4
Los Angeles,Dodgers,"b",17,13
Arizona,Diamondbacks,"b",5,3
San Francisco,Giants,"b",13,14
Colorado,Rockies,"b",8,10
San Diego,Padres,"b",5,3
Buffalo,Bills,"f",4,6
New York,Jets,"f",8,3
New England,Patriots,"f",17,22
Miami,Dolphins,"f",6,8
Pittsburgh,Steelers,"f",12,18
Baltimore,Ravens,"f",5,6
Cleveland,Browns,"f",1,1
Cincinatti,Bengals,"f",10,10
Indianapolis,Colts,"f",7,11
Houston,Texans,"f",10,7
Tennessee,Titans,"f",3,6
Jacksonville,Jaguars,"f",2,7
San Diego,Chargers,"f",14,15
Denver,Broncos,"f",27,16
Oakland,Raiders,"f",7,10
Kansas City,Chiefs,"f",11,10
New York,Giants,"f",7,10
Philadelphia,Eagles,"f",5,4
Dallas,Cowboys,"f",7,13
Washington,Redskins,"f",10,8
Green Bay,Packers,"f",14,16
Minnesota,Vikings,"f",12,14
Chicago,Bears,"f",6,2
Detroit,Lions,"f",6,7
Atlanta,Falcons,"f",8,9
Carolina,Panthers,"f",20,16
Tampa Bay,Buccaneers,"f",3,4
New Orleans,Saints,"f",7,6
Seattle,Seahawks,"f",14,16
Arizona,Cardinals,"f",14,17
Los Angeles,Rams,"f",6,6
San Francisco,49ers,"f",3,3
New York,Knicks,"k",5,5
Boston,Celtics,"k",7,7
New Jersey,Nets,"k",2,2
Philadelphia,76ers,"k",1,1
Toronto,Raptors,"k",10,8
Indiana,Pacers,"k",5,6
Milwaukee,Bucks,"k",6,6
Chicago,Bulls,"k",7,7
Cleveland,Caveliers,"k",20,20
Detroit,Pistons,"k",3,3
Miami,Heat,"k",7,7
Atlanta,Hawks,"k",14,11
Charlotte,Hornets,"k",4,4
Orlando,Magic,"k",4,4
Washington,Wizards,"k",6,6
Houston,Rockets,"k",10,10
San Antonio,Spurs,"k",12,15
New Orleans,Pelicans,"k",5,5
Memphis,Grizzlies,"k",12,12
Dallas,Mavericks,"k",11,11
Los Angeles,Lakers,"k",5,6
Los Angeles,Clippers,"k",11,11
Sacramento,Kings,"k",4,4
Golden State,Warriors,"k",18,21
Phoenix,Suns,"k",4,8
Portland,Trailblazers,"k",10,10
Oklahoma City,Thunder,"k",16,8
Denver,Nuggets,"k",5,7
Minnesota,Timberwolves,"k",3,7
Utah,Jazz,"k",5,5
